"ListingDate","SalesDate","ListPrice","SaleDollarCnt","ZestimateDollarCnt","BedroomCnt","BathroomCnt","FinishedSquareFeet","YearBuilt","MajorRemodelYear","StoryCnt","RoomTotalCnt","SFR","Latitude","Longitude","PageViews"
"2015-01-09","2015-02-19",279500,279500,227259,1,1,503,1927,2003,2,NA,1,47626377,-122319473,731
"2015-01-09","2015-02-19",279500,279500,227259,1,1,503,1927,2003,2,NA,1,47626080,-122319250,636
"2015-01-10","2015-02-25",275000,265000,252289,2,2,920,1995,NA,2,NA,1,47708075,-122341677,296
"2015-03-02",NA,1500000,NA,NA,3,3,1980,1906,NA,2,NA,0,47613794,-122304010,529
"2015-01-15","2015-02-05",550000,490000,559802,3,3,1262,2000,2000,3,NA,1,47613510,-122312880,1457
"2015-03-26",NA,320000,NA,NA,2,1,880,1944,NA,1,NA,1,47733117,-122351425,132
"2015-01-26","2015-03-02",550000,580000,503981,2,3,1810,2005,NA,2,NA,1,47676692,-122301078,759
"2015-02-20",NA,499950,NA,540145,4,4.25,2560,1963,2006,2,NA,1,47732570,-122341613,645
"2015-01-20",NA,NA,NA,890826,3,3.5,3350,2005,NA,2,NA,1,47583843,-122388587,218
"2015-01-06",NA,157000,NA,167045,5,1,447,1965,1973,3,NA,1,47627502,-122347923,569
"2015-04-01",NA,595000,NA,NA,3,1.75,1840,1948,NA,2,NA,1,47689861,-122283065,250
"2015-01-14","2015-02-18",465000,475000,435394,2,2,1108,1990,1990,5,NA,1,47630037,-122324739,625
"2015-02-06",NA,NA,NA,771529,3,1.75,1820,1937,NA,1,NA,1,47625805,-122364780,169
"2015-04-05",NA,350000,NA,NA,3,1.75,2100,1959,NA,1,NA,1,47526200,-122282260,174
"2015-01-30",NA,387500,NA,354214,2,1,1130,1942,NA,1,NA,1,47510307,-122385566,422
"2015-02-06","2015-02-25",290000,285000,316772,2,1,890,1943,NA,1,NA,1,47711260,-122313900,1204
"2015-01-09","2015-02-06",399950,399950,335735,3,1,960,1906,NA,1,NA,1,47553162,-122365204,888
"2015-02-07","2015-02-24",789500,475000,444272,2,1,950,1904,NA,1,NA,1,47680192,-122373281,666
"2015-02-05","2015-02-23",549000,570500,475945,2,1,1380,1954,NA,2,NA,1,47641551,-122360648,922
